,a,b,c,d
1447,Tainted (1998),3.0,Tainted (1998),1.0
1448,Tales From the Crypt Presents: Demon Knight (1995),2.976744186046512,Tales From the Crypt Presents: Demon Knight (1995),43.0
1449,Tales from the Crypt Presents: Bordello of Blood (1996),2.636363636363636,Tales from the Crypt Presents: Bordello of Blood (1996),55.0
1450,Tales from the Hood (1995),2.0370370370370368,Tales from the Hood (1995),27.0
1451,Talking About Sex (1994),1.8,Talking About Sex (1994),5.0
1452,"Tango Lesson, The (1997)",3.3846153846153846,"Tango Lesson, The (1997)",13.0
1453,Tank Girl (1995),2.8536585365853657,Tank Girl (1995),41.0
1454,Target (1995),3.0,Target (1995),1.0
1455,Taxi Driver (1976),4.12087912087912,Taxi Driver (1976),182.0
1456,Telling Lies in America (1997),3.2307692307692313,Telling Lies in America (1997),13.0
1457,Temptress Moon (Feng Yue) (1996),1.6666666666666667,Temptress Moon (Feng Yue) (1996),3.0
1458,Terminal Velocity (1994),2.676470588235294,Terminal Velocity (1994),34.0
1459,Terminator 2: Judgment Day (1991),4.0067796610169495,Terminator 2: Judgment Day (1991),295.0
1460,"Terminator, The (1984)",3.933554817275748,"Terminator, The (1984)",301.0
1461,Terror in a Texas Town (1958),1.0,Terror in a Texas Town (1958),1.0
1462,Tetsuo II: Body Hammer (1992),2.6666666666666665,Tetsuo II: Body Hammer (1992),6.0
1463,That Darn Cat! (1965),2.473684210526316,That Darn Cat! (1965),19.0
1464,That Darn Cat! (1997),2.463414634146341,That Darn Cat! (1997),41.0
1465,That Old Feeling (1997),3.363636363636364,That Old Feeling (1997),11.0
1466,That Thing You Do! (1996),3.4659090909090913,That Thing You Do! (1996),176.0
1467,The Courtyard (1995),1.0,The Courtyard (1995),1.0
1468,The Deadly Cure (1996),3.0,The Deadly Cure (1996),2.0
1469,The Innocent (1994),3.0,The Innocent (1994),4.0
1470,Theodore Rex (1995),1.4,Theodore Rex (1995),5.0
1471,They Made Me a Criminal (1939),5.0,They Made Me a Criminal (1939),1.0
1472,"Thieves (Voleurs, Les) (1996)",3.7142857142857135,"Thieves (Voleurs, Les) (1996)",7.0
1473,"Thin Blue Line, The (1988)",3.7714285714285714,"Thin Blue Line, The (1988)",35.0
1474,"Thin Line Between Love and Hate, A (1996)",2.4166666666666665,"Thin Line Between Love and Hate, A (1996)",12.0
1475,"Thin Man, The (1934)",4.15,"Thin Man, The (1934)",60.0
1476,Things to Do in Denver when You're Dead (1995),3.1549295774647885,Things to Do in Denver when You're Dead (1995),71.0
1477,Thinner (1996),2.4489795918367347,Thinner (1996),49.0
1478,"Third Man, The (1949)",4.333333333333333,"Third Man, The (1949)",72.0
1479,Thirty-Two Short Films About Glenn Gould (1993),3.9444444444444446,Thirty-Two Short Films About Glenn Gould (1993),18.0
1480,This Is Spinal Tap (1984),3.9057591623036654,This Is Spinal Tap (1984),191.0
1481,"Thousand Acres, A (1997)",3.4054054054054053,"Thousand Acres, A (1997)",37.0
1482,"Three Caballeros, The (1945)",3.272727272727273,"Three Caballeros, The (1945)",22.0
1483,Three Colors: Blue (1993),4.015625,Three Colors: Blue (1993),64.0
1484,Three Colors: Red (1994),4.0602409638554215,Three Colors: Red (1994),83.0
1485,Three Colors: White (1994),3.864406779661017,Three Colors: White (1994),59.0
1486,Three Lives and Only One Death (1996),3.0,Three Lives and Only One Death (1996),1.0
1487,"Three Musketeers, The (1993)",3.3033707865168536,"Three Musketeers, The (1993)",89.0
1488,Three Wishes (1995),3.2222222222222223,Three Wishes (1995),9.0
1489,Threesome (1994),2.838709677419355,Threesome (1994),31.0
1490,Tie Me Up! Tie Me Down! (1990),3.1875,Tie Me Up! Tie Me Down! (1990),32.0
1491,"Tie That Binds, The (1995)",2.4285714285714284,"Tie That Binds, The (1995)",7.0
1492,Tigrero: A Film That Was Never Made (1994),1.0,Tigrero: A Film That Was Never Made (1994),1.0
1493,Time Tracers (1995),1.5,Time Tracers (1995),2.0
1494,"Time to Kill, A (1996)",3.685344827586207,"Time to Kill, A (1996)",232.0
1495,Timecop (1994),3.0967741935483866,Timecop (1994),31.0
1496,Tin Cup (1996),3.160621761658031,Tin Cup (1996),193.0
1497,"Tin Drum, The (Blechtrommel, Die) (1979)",3.7,"Tin Drum, The (Blechtrommel, Die) (1979)",40.0
1498,Tin Men (1987),3.07843137254902,Tin Men (1987),51.0
1499,Titanic (1997),4.2457142857142856,Titanic (1997),350.0
1500,To Be or Not to Be (1942),3.611111111111111,To Be or Not to Be (1942),18.0
1501,To Catch a Thief (1955),4.02,To Catch a Thief (1955),50.0
1502,To Cross the Rubicon (1991),1.0,To Cross the Rubicon (1991),1.0
1503,To Die For (1995),3.2758620689655173,To Die For (1995),87.0
1504,To Gillian on Her 37th Birthday (1996),3.0681818181818183,To Gillian on Her 37th Birthday (1996),44.0
1505,"To Have, or Not (1995)",2.0,"To Have, or Not (1995)",2.0
1506,To Kill a Mockingbird (1962),4.2922374429223735,To Kill a Mockingbird (1962),219.0
1507,To Live (Huozhe) (1994),3.7857142857142856,To Live (Huozhe) (1994),14.0
1508,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",2.8947368421052637,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",57.0
1509,Tokyo Fist (1995),4.0,Tokyo Fist (1995),1.0
1510,Tom & Viv (1994),3.333333333333333,Tom & Viv (1994),9.0
1511,Tom and Huck (1995),3.1666666666666665,Tom and Huck (1995),12.0
1512,Tombstone (1993),3.6666666666666665,Tombstone (1993),108.0
1513,Tommy Boy (1995),2.9090909090909087,Tommy Boy (1995),66.0
1514,Tomorrow Never Dies (1997),3.4277777777777776,Tomorrow Never Dies (1997),180.0
1515,Top Gun (1986),3.481818181818182,Top Gun (1986),220.0
1516,Top Hat (1935),4.047619047619048,Top Hat (1935),21.0
1517,Total Eclipse (1995),2.75,Total Eclipse (1995),4.0
1518,Touch (1997),2.7777777777777777,Touch (1997),9.0
1519,Touch of Evil (1958),3.9117647058823533,Touch of Evil (1958),34.0
1520,Tough and Deadly (1995),3.0,Tough and Deadly (1995),2.0
1521,Touki Bouki (Journey of the Hyena) (1973),1.0,Touki Bouki (Journey of the Hyena) (1973),1.0
1522,Toy Story (1995),3.878318584070796,Toy Story (1995),452.0
1523,Trainspotting (1996),3.884,Trainspotting (1996),250.0
1524,"Transformers: The Movie, The (1986)",2.84375,"Transformers: The Movie, The (1986)",32.0
1525,Traveller (1997),3.3076923076923075,Traveller (1997),13.0
1526,"Treasure of the Sierra Madre, The (1948)",4.1,"Treasure of the Sierra Madre, The (1948)",80.0
1527,Trees Lounge (1996),3.24,Trees Lounge (1996),50.0
1528,Trial and Error (1997),2.5217391304347827,Trial and Error (1997),23.0
1529,Trial by Jury (1994),2.4285714285714284,Trial by Jury (1994),7.0
1530,"Trigger Effect, The (1996)",3.2,"Trigger Effect, The (1996)",35.0
1531,True Crime (1995),3.333333333333333,True Crime (1995),9.0
1532,True Lies (1994),3.5625,True Lies (1994),208.0
1533,True Romance (1993),3.615384615384616,True Romance (1993),104.0
1534,"Truman Show, The (1998)",2.9090909090909087,"Truman Show, The (1998)",11.0
1535,Trust (1990),3.7894736842105265,Trust (1990),19.0
1536,"Truth About Cats & Dogs, The (1996)",3.4852941176470584,"Truth About Cats & Dogs, The (1996)",272.0
1537,"Truth or Consequences, N.M. (1997)",2.0,"Truth or Consequences, N.M. (1997)",3.0
1538,Turbo: A Power Rangers Movie (1997),1.8,Turbo: A Power Rangers Movie (1997),5.0
1539,Turbulence (1997),2.565217391304348,Turbulence (1997),23.0
1540,"Turning, The (1992)",2.5,"Turning, The (1992)",2.0
1541,Twelfth Night (1996),3.4137931034482767,Twelfth Night (1996),29.0
1542,Twelve Monkeys (1995),3.798469387755102,Twelve Monkeys (1995),392.0
1543,Twilight (1998),2.5,Twilight (1998),4.0
1544,Twin Town (1997),2.1666666666666665,Twin Town (1997),6.0
1545,Twisted (1996),3.5,Twisted (1996),6.0
1546,Twister (1996),3.2150170648464163,Twister (1996),293.0
1547,Two Bits (1995),2.2,Two Bits (1995),5.0
1548,Two Deaths (1995),2.25,Two Deaths (1995),4.0
1549,Two Friends (1986) ,3.0,Two Friends (1986) ,1.0
1550,Two Much (1996),2.4285714285714284,Two Much (1996),7.0
1551,Two if by Sea (1996),2.6,Two if by Sea (1996),25.0
1552,Two or Three Things I Know About Her (1966),3.75,Two or Three Things I Know About Her (1966),4.0
1553,U Turn (1997),3.359375,U Turn (1997),64.0
1554,U.S. Marshalls (1998),3.0,U.S. Marshalls (1998),9.0
1555,Ulee's Gold (1997),3.760869565217391,Ulee's Gold (1997),184.0
1556,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3.761904761904762,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",21.0
1557,"Unbearable Lightness of Being, The (1988)",3.4565217391304346,"Unbearable Lightness of Being, The (1988)",92.0
1558,Under Siege (1992),3.290322580645161,Under Siege (1992),124.0
1559,Under Siege 2: Dark Territory (1995),2.458333333333333,Under Siege 2: Dark Territory (1995),48.0
1560,Underground (1995),2.8,Underground (1995),5.0
1561,"Underneath, The (1995)",2.75,"Underneath, The (1995)",4.0
1562,Underworld (1997),2.5,Underworld (1997),4.0
1563,Unforgettable (1996),3.3235294117647056,Unforgettable (1996),34.0
1564,Unforgiven (1992),3.868131868131868,Unforgiven (1992),182.0
1565,Unhook the Stars (1996),2.5,Unhook the Stars (1996),10.0
1566,Unstrung Heroes (1995),3.3181818181818183,Unstrung Heroes (1995),22.0
1567,Until the End of the World (Bis ans Ende der Welt) (1991),2.8260869565217392,Until the End of the World (Bis ans Ende der Welt) (1991),23.0
1568,Unzipped (1995),3.5454545454545454,Unzipped (1995),11.0
1569,Up Close and Personal (1996),3.1882352941176477,Up Close and Personal (1996),85.0
1570,Up in Smoke (1978),3.2553191489361697,Up in Smoke (1978),47.0
1571,"Usual Suspects, The (1995)",4.3857677902621734,"Usual Suspects, The (1995)",267.0
1572,Vampire in Brooklyn (1995),1.8333333333333333,Vampire in Brooklyn (1995),12.0
1573,"Van, The (1996)",2.6666666666666665,"Van, The (1996)",6.0
1574,Vanya on 42nd Street (1994),3.592592592592593,Vanya on 42nd Street (1994),27.0
1575,Vegas Vacation (1997),2.4,Vegas Vacation (1997),75.0
1576,Venice/Venice (1992),1.0,Venice/Venice (1992),2.0
1577,Vermin (1998),2.0,Vermin (1998),2.0
1578,Vermont Is For Lovers (1992),1.0,Vermont Is For Lovers (1992),1.0
1579,Vertigo (1958),4.251396648044691,Vertigo (1958),179.0
1580,"Very Brady Sequel, A (1996)",2.3978494623655915,"Very Brady Sequel, A (1996)",93.0
1581,"Very Natural Thing, A (1974)",1.0,"Very Natural Thing, A (1974)",1.0
1582,Victor/Victoria (1982),3.3376623376623376,Victor/Victoria (1982),77.0
1583,"Vie est belle, La (Life is Rosey) (1987)",1.0,"Vie est belle, La (Life is Rosey) (1987)",1.0
1584,Village of the Damned (1995),2.6818181818181817,Village of the Damned (1995),22.0
1585,Virtuosity (1995),2.736842105263158,Virtuosity (1995),38.0
1586,"Visitors, The (Visiteurs, Les) (1993)",3.5,"Visitors, The (Visiteurs, Les) (1993)",2.0
1587,Volcano (1997),2.808219178082192,Volcano (1997),219.0
1588,Wag the Dog (1997),3.510948905109489,Wag the Dog (1997),137.0
1589,Waiting for Guffman (1996),4.127659574468085,Waiting for Guffman (1996),47.0
1590,Waiting to Exhale (1995),2.5,Waiting to Exhale (1995),16.0
1591,"Walk in the Clouds, A (1995)",3.2857142857142856,"Walk in the Clouds, A (1995)",63.0
1592,"Walk in the Sun, A (1945)",3.0,"Walk in the Sun, A (1945)",1.0
1593,Walkabout (1971),3.8461538461538463,Walkabout (1971),26.0
1594,"Walking Dead, The (1995)",2.25,"Walking Dead, The (1995)",4.0
1595,Walking and Talking (1996),3.625,Walking and Talking (1996),8.0
1596,Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194029852,Wallace & Gromit: The Best of Aardman Animation (1996),67.0
1597,"War Room, The (1993)",3.333333333333333,"War Room, The (1993)",9.0
1598,"War at Home, The (1996)",2.0,"War at Home, The (1996)",1.0
1599,"War, The (1994)",3.2666666666666666,"War, The (1994)",15.0
1600,Warriors of Virtue (1997),3.0,Warriors of Virtue (1997),10.0
1601,Washington Square (1997),3.294117647058824,Washington Square (1997),34.0
1602,Waterworld (1995),2.8039215686274512,Waterworld (1995),102.0
1603,Wedding Bell Blues (1996),3.0,Wedding Bell Blues (1996),1.0
1604,"Wedding Gift, The (1994)",4.0,"Wedding Gift, The (1994)",3.0
1605,"Wedding Singer, The (1998)",3.486111111111111,"Wedding Singer, The (1998)",72.0
1606,Weekend at Bernie's (1989),2.6166666666666667,Weekend at Bernie's (1989),60.0
1607,Welcome To Sarajevo (1997),3.363636363636364,Welcome To Sarajevo (1997),22.0
1608,Welcome to the Dollhouse (1995),3.7232142857142856,Welcome to the Dollhouse (1995),112.0
1609,Wend Kuuni (God's Gift) (1982),1.0,Wend Kuuni (God's Gift) (1982),1.0
1610,Wes Craven's New Nightmare (1994),2.8,Wes Craven's New Nightmare (1994),35.0
1611,What Happened Was... (1994),2.625,What Happened Was... (1994),8.0
1612,What's Eating Gilbert Grape (1993),3.5391304347826087,What's Eating Gilbert Grape (1993),115.0
1613,What's Love Got to Do with It (1993),3.488888888888889,What's Love Got to Do with It (1993),45.0
1614,When Harry Met Sally... (1989),3.910344827586207,When Harry Met Sally... (1989),290.0
1615,When Night Is Falling (1995),3.4,When Night Is Falling (1995),5.0
1616,When We Were Kings (1996),4.045454545454546,When We Were Kings (1996),44.0
1617,When a Man Loves a Woman (1994),3.4871794871794872,When a Man Loves a Woman (1994),39.0
1618,When the Cats Away (Chacun cherche son chat) (1996),3.5625,When the Cats Away (Chacun cherche son chat) (1996),16.0
1619,While You Were Sleeping (1995),3.5493827160493834,While You Were Sleeping (1995),162.0
1620,"White Balloon, The (1995)",2.8,"White Balloon, The (1995)",10.0
1621,White Man's Burden (1995),2.0,White Man's Burden (1995),10.0
1622,White Squall (1996),3.4,White Squall (1996),85.0
1623,"Whole Wide World, The (1996)",4.0,"Whole Wide World, The (1996)",6.0
1624,Widows' Peak (1994),3.5789473684210527,Widows' Peak (1994),19.0
1625,"Wife, The (1995)",3.0,"Wife, The (1995)",1.0
1626,Wild America (1997),2.888888888888889,Wild America (1997),9.0
1627,Wild Bill (1995),2.5,Wild Bill (1995),12.0
1628,"Wild Bunch, The (1969)",4.023255813953488,"Wild Bunch, The (1969)",43.0
1629,Wild Reeds (1994),3.1428571428571432,Wild Reeds (1994),14.0
1630,Wild Things (1998),2.727272727272727,Wild Things (1998),11.0
1631,William Shakespeare's Romeo and Juliet (1996),3.5943396226415096,William Shakespeare's Romeo and Juliet (1996),106.0
1632,Willy Wonka and the Chocolate Factory (1971),3.6319018404907975,Willy Wonka and the Chocolate Factory (1971),326.0
1633,Window to Paris (1994),4.0,Window to Paris (1994),1.0
1634,Wings of Courage (1995),4.0,Wings of Courage (1995),1.0
1635,Wings of Desire (1987),4.0,Wings of Desire (1987),57.0
1636,"Wings of the Dove, The (1997)",3.68,"Wings of the Dove, The (1997)",75.0
1637,Winnie the Pooh and the Blustery Day (1968),3.8,Winnie the Pooh and the Blustery Day (1968),75.0
1638,"Winter Guest, The (1997)",3.4444444444444446,"Winter Guest, The (1997)",9.0
1639,Wishmaster (1997),2.4444444444444446,Wishmaster (1997),27.0
1640,With Honors (1994),3.065217391304348,With Honors (1994),46.0
1641,Withnail and I (1987),3.2307692307692313,Withnail and I (1987),13.0
1642,Witness (1985),4.0,Witness (1985),1.0
1643,"Wizard of Oz, The (1939)",4.077235772357724,"Wizard of Oz, The (1939)",246.0
1644,Wolf (1994),2.7014925373134333,Wolf (1994),67.0
1645,"Woman in Question, The (1950)",1.0,"Woman in Question, The (1950)",1.0
1646,"Women, The (1939)",3.6666666666666665,"Women, The (1939)",15.0
1647,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",4.0,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",10.0
1648,Wonderland (1997),3.2,Wonderland (1997),10.0
1649,"Wooden Man's Bride, The (Wu Kui) (1994)",2.6666666666666665,"Wooden Man's Bride, The (Wu Kui) (1994)",3.0
1650,"World of Apu, The (Apur Sansar) (1959)",4.0,"World of Apu, The (Apur Sansar) (1959)",6.0
1651,"Wrong Trousers, The (1993)",4.466101694915254,"Wrong Trousers, The (1993)",118.0
1652,Wyatt Earp (1994),3.1,Wyatt Earp (1994),50.0
1653,Yankee Zulu (1994),1.0,Yankee Zulu (1994),1.0
1654,Year of the Horse (1997),3.2857142857142856,Year of the Horse (1997),7.0
1655,You So Crazy (1994),3.0,You So Crazy (1994),1.0
1656,Young Frankenstein (1974),3.945,Young Frankenstein (1974),200.0
1657,Young Guns (1988),3.207920792079208,Young Guns (1988),101.0
1658,Young Guns II (1990),2.772727272727273,Young Guns II (1990),44.0
1659,"Young Poisoner's Handbook, The (1995)",3.3414634146341466,"Young Poisoner's Handbook, The (1995)",41.0
1660,Zeus and Roxanne (1997),2.1666666666666665,Zeus and Roxanne (1997),6.0
1661,unknown,3.4444444444444446,unknown,9.0
1662,Á köldum klaka (Cold Fever) (1994),3.0,Á köldum klaka (Cold Fever) (1994),1.0
